,datetime,expt_num,type,index,value
0,2023-01-29,0,dli,0,3.64979
1,2023-01-29,0,dli,1,2.61296
2,2023-01-29,0,dli,2,0.376196
3,2023-01-29,0,dli,3,3.87599
4,2023-01-29,0,dli,4,3.51132
5,2023-01-29,0,dli,5,3.23358
6,2023-01-29,0,dli,6,8.23083
7,2023-01-29,0,dli,7,4.73588
8,2023-01-29,0,dli,8,4.95112
9,2023-01-30,0,dli,0,0.835177
10,2023-01-30,0,dli,1,0.755055
11,2023-01-30,0,dli,2,0.0871425
12,2023-01-30,0,dli,3,1.14102
13,2023-01-30,0,dli,4,1.07453
14,2023-01-30,0,dli,5,0.800145
15,2023-01-30,0,dli,6,2.2167
16,2023-01-30,0,dli,7,1.37227
17,2023-01-30,0,dli,8,1.54926
18,2023-01-31,0,dli,0,2.69433
19,2023-01-31,0,dli,1,2.13165
20,2023-01-31,0,dli,2,0.417623
21,2023-01-31,0,dli,3,3.88435
22,2023-01-31,0,dli,4,3.48401
23,2023-01-31,0,dli,5,2.26375
24,2023-01-31,0,dli,6,6.54088
25,2023-01-31,0,dli,7,4.34268
26,2023-01-31,0,dli,8,4.8467
27,2023-02-01,0,dli,0,2.08393
28,2023-02-01,0,dli,1,2.11795
29,2023-02-01,0,dli,2,0.389678
30,2023-02-01,0,dli,3,3.81733
31,2023-02-01,0,dli,4,3.21118
32,2023-02-01,0,dli,5,2.28042
33,2023-02-01,0,dli,6,5.80723
34,2023-02-01,0,dli,7,4.1578
35,2023-02-01,0,dli,8,4.77164
36,2023-02-02,0,dli,0,3.76198
37,2023-02-02,0,dli,1,2.91371
38,2023-02-02,0,dli,2,2.21492
39,2023-02-02,0,dli,3,2.66223
40,2023-02-02,0,dli,4,3.18571
41,2023-02-02,0,dli,5,4.09731
42,2023-02-02,0,dli,6,4.99824
43,2023-02-02,0,dli,7,4.73648
44,2023-02-02,0,dli,8,4.54552
45,2023-02-03,0,dli,0,2.06212
46,2023-02-03,0,dli,1,2.18599
47,2023-02-03,0,dli,2,2.08804
48,2023-02-03,0,dli,3,1.43087
49,2023-02-03,0,dli,4,2.20718
50,2023-02-03,0,dli,5,1.73691
51,2023-02-03,0,dli,6,3.20105
52,2023-02-03,0,dli,7,2.74556
53,2023-02-03,0,dli,8,4.30414
54,2023-02-04,0,dli,0,1.04989
55,2023-02-04,0,dli,1,2.15565
56,2023-02-04,0,dli,2,2.50748
57,2023-02-04,0,dli,3,1.70733
58,2023-02-04,0,dli,4,2.4245
59,2023-02-04,0,dli,5,1.55971
60,2023-02-04,0,dli,6,4.26344
61,2023-02-04,0,dli,7,3.70591
62,2023-02-04,0,dli,8,4.86853
63,2023-02-05,0,dli,0,0.709164
64,2023-02-05,0,dli,1,1.88084
65,2023-02-05,0,dli,2,1.81528
66,2023-02-05,0,dli,3,0.940019
67,2023-02-05,0,dli,4,1.71509
68,2023-02-05,0,dli,5,1.2211
69,2023-02-05,0,dli,6,3.18634
70,2023-02-05,0,dli,7,2.09734
71,2023-02-05,0,dli,8,3.60838
72,2023-02-06,0,dli,0,0.48519
73,2023-02-06,0,dli,1,1.34177
74,2023-02-06,0,dli,2,1.1448
75,2023-02-06,0,dli,3,0.605611
76,2023-02-06,0,dli,4,1.80785
77,2023-02-06,0,dli,5,0.96012
78,2023-02-06,0,dli,6,3.07476
79,2023-02-06,0,dli,7,1.24369
80,2023-02-06,0,dli,8,3.09865
81,2023-02-07,0,dli,0,0.62937
82,2023-02-07,0,dli,1,0.946552
83,2023-02-07,0,dli,2,0.749925
84,2023-02-07,0,dli,3,0.448403
85,2023-02-07,0,dli,4,1.26758
86,2023-02-07,0,dli,5,0.954112
87,2023-02-07,0,dli,6,2.13442
88,2023-02-07,0,dli,7,0.889312
89,2023-02-07,0,dli,8,2.12558
90,2023-02-08,0,dli,0,0.766368
91,2023-02-08,0,dli,1,1.60058
92,2023-02-08,0,dli,2,1.04782
93,2023-02-08,0,dli,3,0.75263
94,2023-02-08,0,dli,4,2.07012
95,2023-02-08,0,dli,5,1.4799
96,2023-02-08,0,dli,6,3.41605
97,2023-02-08,0,dli,7,1.33082
98,2023-02-08,0,dli,8,3.69348
99,2023-02-09,0,dli,0,0.0
100,2023-02-09,0,dli,1,0.0
101,2023-02-09,0,dli,2,0.0
102,2023-02-09,0,dli,3,0.0
103,2023-02-09,0,dli,4,0.0
104,2023-02-09,0,dli,5,0.0
105,2023-02-09,0,dli,6,0.0
106,2023-02-09,0,dli,7,0.0
107,2023-02-09,0,dli,8,0.0
108,2023-02-10,0,dli,0,0.0
109,2023-02-10,0,dli,1,0.0
110,2023-02-10,0,dli,2,0.0
111,2023-02-10,0,dli,3,0.0
112,2023-02-10,0,dli,4,0.0
113,2023-02-10,0,dli,5,0.0
114,2023-02-10,0,dli,6,0.0
115,2023-02-10,0,dli,7,0.0
116,2023-02-10,0,dli,8,0.0
117,2023-02-11,0,dli,0,0.831758
118,2023-02-11,0,dli,1,0.844092
119,2023-02-11,0,dli,2,0.279801
120,2023-02-11,0,dli,3,0.428206
121,2023-02-11,0,dli,4,0.333414
122,2023-02-11,0,dli,5,0.612054
123,2023-02-11,0,dli,6,0.454392
124,2023-02-11,0,dli,7,0.567
125,2023-02-11,0,dli,8,1.20462
126,2023-02-12,0,dli,0,0.327748
127,2023-02-12,0,dli,1,0.303309
128,2023-02-12,0,dli,2,0.055719
129,2023-02-12,0,dli,3,0.617535
130,2023-02-12,0,dli,4,0.257463
131,2023-02-12,0,dli,5,0.250074
132,2023-02-12,0,dli,6,0.640116
133,2023-02-12,0,dli,7,0.0
134,2023-02-12,0,dli,8,0.438057
135,2023-02-13,0,dli,0,2.47203
136,2023-02-13,0,dli,1,1.60608
137,2023-02-13,0,dli,2,0.629728
138,2023-02-13,0,dli,3,4.29715
139,2023-02-13,0,dli,4,1.49105
140,2023-02-13,0,dli,5,1.83759
141,2023-02-13,0,dli,6,4.5514
142,2023-02-13,0,dli,7,0.0
143,2023-02-13,0,dli,8,3.15526
144,2023-02-14,0,dli,0,2.31417
145,2023-02-14,0,dli,1,1.2393
146,2023-02-14,0,dli,2,0.730688
147,2023-02-14,0,dli,3,4.24987
148,2023-02-14,0,dli,4,0.929273
149,2023-02-14,0,dli,5,1.73563
150,2023-02-14,0,dli,6,4.53505
151,2023-02-14,0,dli,7,0.0
152,2023-02-14,0,dli,8,2.72578
153,2023-02-15,0,dli,0,2.2786
154,2023-02-15,0,dli,1,1.23134
155,2023-02-15,0,dli,2,0.839025
156,2023-02-15,0,dli,3,4.26533
157,2023-02-15,0,dli,4,1.17572
158,2023-02-15,0,dli,5,1.71632
159,2023-02-15,0,dli,6,4.59702
160,2023-02-15,0,dli,7,0.0
161,2023-02-15,0,dli,8,2.39841
162,2023-02-16,0,dli,0,2.1517
163,2023-02-16,0,dli,1,1.20413
164,2023-02-16,0,dli,2,1.02789
165,2023-02-16,0,dli,3,4.21504
166,2023-02-16,0,dli,4,1.30565
167,2023-02-16,0,dli,5,1.68669
168,2023-02-16,0,dli,6,4.59344
169,2023-02-16,0,dli,7,0.0
170,2023-02-16,0,dli,8,2.31923
171,2023-02-17,0,dli,0,2.03607
172,2023-02-17,0,dli,1,1.19907
173,2023-02-17,0,dli,2,0.995557
174,2023-02-17,0,dli,3,4.17049
175,2023-02-17,0,dli,4,1.60137
176,2023-02-17,0,dli,5,1.74933
177,2023-02-17,0,dli,6,4.5767
178,2023-02-17,0,dli,7,0.0
179,2023-02-17,0,dli,8,2.18875
180,2023-02-18,0,dli,0,0.494842
181,2023-02-18,0,dli,1,0.2781
182,2023-02-18,0,dli,2,0.258457
183,2023-02-18,0,dli,3,0.973823
184,2023-02-18,0,dli,4,0.43524
185,2023-02-18,0,dli,5,0.456232
186,2023-02-18,0,dli,6,1.05543
187,2023-02-18,0,dli,7,0.0
188,2023-02-18,0,dli,8,0.465075
189,2023-02-19,0,dli,0,0.0
190,2023-02-19,0,dli,1,0.0
191,2023-02-19,0,dli,2,0.0
192,2023-02-19,0,dli,3,0.0
193,2023-02-19,0,dli,4,0.0
194,2023-02-19,0,dli,5,0.0
195,2023-02-19,0,dli,6,0.0
196,2023-02-19,0,dli,7,0.0
197,2023-02-19,0,dli,8,0.0
198,2023-02-20,0,dli,0,0.0
199,2023-02-20,0,dli,1,0.0511155
200,2023-02-20,0,dli,2,0.408546
201,2023-02-20,0,dli,3,1.23539
202,2023-02-20,0,dli,4,1.18293
203,2023-02-20,0,dli,5,0.452998
204,2023-02-20,0,dli,6,0.0
205,2023-02-20,0,dli,7,0.0
206,2023-02-20,0,dli,8,0.0
207,2023-02-21,0,dli,0,0.0
208,2023-02-21,0,dli,1,0.1242
209,2023-02-21,0,dli,2,0.838283
210,2023-02-21,0,dli,3,4.36124
211,2023-02-21,0,dli,4,2.39341
212,2023-02-21,0,dli,5,0.838755
213,2023-02-21,0,dli,6,0.0
214,2023-02-21,0,dli,7,0.0
215,2023-02-21,0,dli,8,0.0
216,2023-02-22,0,dli,0,0.0
217,2023-02-22,0,dli,1,0.263722
218,2023-02-22,0,dli,2,0.417285
219,2023-02-22,0,dli,3,2.20199
220,2023-02-22,0,dli,4,1.21547
221,2023-02-22,0,dli,5,0.52002
222,2023-02-22,0,dli,6,0.0
