,datetime,expt_num,sitename,type,index,value
4,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,0,0.416667
28,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,0,909.167
52,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,0,872.083
76,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,0,807.917
100,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,0,732.5
124,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,0,840.417
148,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,0,815.833
172,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,0,810.833
196,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,0,735.417
220,2023-01-29 10:30:00,0,DLSU-BLAST,light_intensity,0,808.75
244,2023-01-29 11:00:00,0,DLSU-BLAST,light_intensity,0,767.5
268,2023-01-29 11:30:00,0,DLSU-BLAST,light_intensity,0,731.25
292,2023-01-29 12:00:00,0,DLSU-BLAST,light_intensity,0,676.667
316,2023-01-29 12:30:00,0,DLSU-BLAST,light_intensity,0,701.25
340,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,0,685.0
364,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,0,667.917
388,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,0,646.25
412,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,0,646.25
436,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,0,654.167
460,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,0,805.0
484,2023-01-29 15:41:00,0,DLSU-BLAST,light_intensity,0,849.583
508,2023-01-29 16:11:00,0,DLSU-BLAST,light_intensity,0,640.0
532,2023-01-29 16:41:00,0,DLSU-BLAST,light_intensity,0,638.75
556,2023-01-29 17:11:00,0,DLSU-BLAST,light_intensity,0,632.083
580,2023-01-29 17:41:00,0,DLSU-BLAST,light_intensity,0,617.083
604,2023-01-29 18:11:00,0,DLSU-BLAST,light_intensity,0,639.583
628,2023-01-29 18:41:00,0,DLSU-BLAST,light_intensity,0,647.083
652,2023-01-29 19:11:00,0,DLSU-BLAST,light_intensity,0,684.583
676,2023-01-29 19:41:00,0,DLSU-BLAST,light_intensity,0,660.417
700,2023-01-29 20:11:00,0,DLSU-BLAST,light_intensity,0,672.5
724,2023-01-29 20:41:00,0,DLSU-BLAST,light_intensity,0,692.5
748,2023-01-29 21:11:00,0,DLSU-BLAST,light_intensity,0,665.0
772,2023-01-29 21:41:00,0,DLSU-BLAST,light_intensity,0,708.333
796,2023-01-30 16:30:00,0,DLSU-BLAST,light_intensity,0,542.5
820,2023-01-30 17:00:00,0,DLSU-BLAST,light_intensity,0,530.417
844,2023-01-30 17:30:00,0,DLSU-BLAST,light_intensity,0,522.083
868,2023-01-30 18:00:00,0,DLSU-BLAST,light_intensity,0,514.583
892,2023-01-30 18:30:00,0,DLSU-BLAST,light_intensity,0,534.167
916,2023-01-30 19:00:00,0,DLSU-BLAST,light_intensity,0,523.333
940,2023-01-30 19:30:00,0,DLSU-BLAST,light_intensity,0,507.083
964,2023-01-30 20:00:00,0,DLSU-BLAST,light_intensity,0,504.583
988,2023-01-30 20:30:00,0,DLSU-BLAST,light_intensity,0,510.0
1012,2023-01-30 21:00:00,0,DLSU-BLAST,light_intensity,0,512.5
1036,2023-01-30 21:30:00,0,DLSU-BLAST,light_intensity,0,496.667
1060,2023-01-31 06:00:00,0,DLSU-BLAST,light_intensity,0,0.416667
1084,2023-01-31 06:30:00,0,DLSU-BLAST,light_intensity,0,563.333
1108,2023-01-31 07:00:00,0,DLSU-BLAST,light_intensity,0,566.667
1132,2023-01-31 07:30:00,0,DLSU-BLAST,light_intensity,0,639.583
