,id,datetime,expt_num,sitename,type,sensor_idx,value
0,5,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,0,0.416667
1,6,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,1,0.0
2,7,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,2,0.0
3,8,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,3,0.0
4,9,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,4,0.0
5,10,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,5,0.0
6,11,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,6,0.0
7,12,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,7,0.0
8,13,2023-01-29 06:00:00,0,DLSU-BLAST,light_intensity,8,0.0
9,29,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,0,909.167
10,30,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,1,524.167
11,31,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,2,50.0
12,32,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,3,802.083
13,33,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,4,671.25
14,34,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,5,766.667
15,35,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,6,1611.67
16,36,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,7,957.917
17,37,2023-01-29 06:30:00,0,DLSU-BLAST,light_intensity,8,958.333
18,53,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,0,872.083
19,54,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,1,543.333
20,55,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,2,53.3333
21,56,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,3,805.0
22,57,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,4,670.833
23,58,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,5,727.5
24,59,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,6,1619.17
25,60,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,7,968.333
26,61,2023-01-29 07:00:00,0,DLSU-BLAST,light_intensity,8,971.25
27,77,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,0,807.917
28,78,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,1,573.75
29,79,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,2,78.75
30,80,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,3,800.0
31,81,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,4,683.75
32,82,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,5,767.083
33,83,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,6,1642.5
34,84,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,7,985.417
35,85,2023-01-29 07:30:00,0,DLSU-BLAST,light_intensity,8,972.5
36,101,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,0,732.5
37,102,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,1,537.083
38,103,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,2,87.0833
39,104,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,3,760.0
40,105,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,4,685.0
41,106,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,5,681.667
42,107,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,6,1622.5
43,108,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,7,956.25
44,109,2023-01-29 08:00:00,0,DLSU-BLAST,light_intensity,8,960.417
45,125,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,0,840.417
46,126,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,1,600.0
47,127,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,2,122.5
48,128,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,3,817.5
49,129,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,4,733.333
50,130,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,5,805.833
51,131,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,6,1691.25
52,132,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,7,1029.17
53,133,2023-01-29 08:30:00,0,DLSU-BLAST,light_intensity,8,1003.75
54,149,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,0,815.833
55,150,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,1,563.333
56,151,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,2,110.417
57,152,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,3,775.417
58,153,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,4,717.5
59,154,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,5,747.917
60,155,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,6,1661.25
61,156,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,7,1005.83
62,157,2023-01-29 09:00:00,0,DLSU-BLAST,light_intensity,8,990.417
63,173,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,0,810.833
64,174,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,1,571.667
65,175,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,2,117.5
66,176,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,3,776.25
67,177,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,4,725.833
68,178,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,5,759.167
69,179,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,6,1651.67
70,180,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,7,964.583
71,181,2023-01-29 09:30:00,0,DLSU-BLAST,light_intensity,8,977.917
72,197,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,0,735.417
73,198,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,1,520.417
74,199,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,2,85.4167
75,200,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,3,738.333
76,201,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,4,697.083
77,202,2023-01-29 10:00:00,0,DLSU-BLAST,light_intensity,5,668.333
