,datetime,expt_num,type,value
60,2023-01-25,0,pred_leaf_count_median,127.0
61,2023-01-25,0,pred_leaf_count_mean,125.0
62,2023-01-25,0,pred_flower_count_median,0.0
63,2023-01-25,0,pred_flower_count_mean,0.0
64,2023-01-25,0,pred_fruit_count_median,0.0
65,2023-01-25,0,pred_fruit_count_mean,0.0
17,2023-01-29,0,pred_fruit_count_mean,0.0
16,2023-01-29,0,pred_fruit_count_median,0.0
15,2023-01-29,0,pred_flower_count_mean,0.1111111111111111
14,2023-01-29,0,pred_flower_count_median,0.0
13,2023-01-29,0,pred_leaf_count_mean,124.88888888888889
12,2023-01-29,0,pred_leaf_count_median,125.0
251,2023-01-30,0,pred_fruit_count_mean,0.0
246,2023-01-30,0,pred_leaf_count_median,118.0
247,2023-01-30,0,pred_leaf_count_mean,118.4
248,2023-01-30,0,pred_flower_count_median,1.0
249,2023-01-30,0,pred_flower_count_mean,0.8
250,2023-01-30,0,pred_fruit_count_median,0.0
159,2023-01-31,0,pred_flower_count_mean,0.125
160,2023-01-31,0,pred_fruit_count_median,0.0
161,2023-01-31,0,pred_fruit_count_mean,0.0
158,2023-01-31,0,pred_flower_count_median,0.0
156,2023-01-31,0,pred_leaf_count_median,125.0
157,2023-01-31,0,pred_leaf_count_mean,123.6875
89,2023-02-01,0,pred_fruit_count_mean,0.0
88,2023-02-01,0,pred_fruit_count_median,0.0
86,2023-02-01,0,pred_flower_count_median,0.0
85,2023-02-01,0,pred_leaf_count_mean,125.53333333333333
87,2023-02-01,0,pred_flower_count_mean,0.13333333333333333
84,2023-02-01,0,pred_leaf_count_median,126.0
125,2023-02-02,0,pred_fruit_count_mean,0.0
124,2023-02-02,0,pred_fruit_count_median,0.0
120,2023-02-02,0,pred_leaf_count_median,125.0
123,2023-02-02,0,pred_flower_count_mean,0.55
122,2023-02-02,0,pred_flower_count_median,0.0
121,2023-02-02,0,pred_leaf_count_mean,110.1
72,2023-02-03,0,pred_leaf_count_median,151.5
74,2023-02-03,0,pred_flower_count_median,0.0
75,2023-02-03,0,pred_flower_count_mean,0.6875
76,2023-02-03,0,pred_fruit_count_median,0.0
77,2023-02-03,0,pred_fruit_count_mean,0.0
73,2023-02-03,0,pred_leaf_count_mean,142.0625
227,2023-02-04,0,pred_fruit_count_mean,0.0
226,2023-02-04,0,pred_fruit_count_median,0.0
225,2023-02-04,0,pred_flower_count_mean,0.625
224,2023-02-04,0,pred_flower_count_median,0.0
223,2023-02-04,0,pred_leaf_count_mean,164.5
222,2023-02-04,0,pred_leaf_count_median,161.5
29,2023-02-05,0,pred_fruit_count_mean,0.0
28,2023-02-05,0,pred_fruit_count_median,0.0
27,2023-02-05,0,pred_flower_count_mean,0.8571428571428571
26,2023-02-05,0,pred_flower_count_median,1.0
24,2023-02-05,0,pred_leaf_count_median,151.0
25,2023-02-05,0,pred_leaf_count_mean,110.19047619047619
164,2023-02-06,0,pred_flower_count_median,1.0
163,2023-02-06,0,pred_leaf_count_mean,161.77777777777777
162,2023-02-06,0,pred_leaf_count_median,160.0
166,2023-02-06,0,pred_fruit_count_median,0.0
167,2023-02-06,0,pred_fruit_count_mean,0.0
165,2023-02-06,0,pred_flower_count_mean,1.6666666666666667
21,2023-02-07,0,pred_flower_count_mean,3.1538461538461537
20,2023-02-07,0,pred_flower_count_median,3.0
19,2023-02-07,0,pred_leaf_count_mean,162.6153846153846
18,2023-02-07,0,pred_leaf_count_median,165.0
22,2023-02-07,0,pred_fruit_count_median,0.0
23,2023-02-07,0,pred_fruit_count_mean,0.0
32,2023-02-08,0,pred_flower_count_median,3.0
33,2023-02-08,0,pred_flower_count_mean,3.0952380952380953
34,2023-02-08,0,pred_fruit_count_median,0.0
35,2023-02-08,0,pred_fruit_count_mean,0.0
31,2023-02-08,0,pred_leaf_count_mean,165.47619047619048
30,2023-02-08,0,pred_leaf_count_median,167.0
130,2023-02-09,0,pred_fruit_count_median,0.0
126,2023-02-09,0,pred_leaf_count_median,143.0
127,2023-02-09,0,pred_leaf_count_mean,141.2
131,2023-02-09,0,pred_fruit_count_mean,0.0
129,2023-02-09,0,pred_flower_count_mean,3.2
128,2023-02-09,0,pred_flower_count_median,3.0
37,2023-02-10,0,pred_leaf_count_mean,138.4
38,2023-02-10,0,pred_flower_count_median,5.0
39,2023-02-10,0,pred_flower_count_mean,4.4
40,2023-02-10,0,pred_fruit_count_median,0.0
36,2023-02-10,0,pred_leaf_count_median,138.0
41,2023-02-10,0,pred_fruit_count_mean,0.0
144,2023-02-11,0,pred_leaf_count_median,129.0
145,2023-02-11,0,pred_leaf_count_mean,130.85714285714286
146,2023-02-11,0,pred_flower_count_median,5.0
147,2023-02-11,0,pred_flower_count_mean,5.142857142857143
148,2023-02-11,0,pred_fruit_count_median,0.0
149,2023-02-11,0,pred_fruit_count_mean,0.0
255,2023-02-12,0,pred_flower_count_mean,2.25
252,2023-02-12,0,pred_leaf_count_median,123.5
254,2023-02-12,0,pred_flower_count_median,3.0
253,2023-02-12,0,pred_leaf_count_mean,123.75
257,2023-02-12,0,pred_fruit_count_mean,0.0
256,2023-02-12,0,pred_fruit_count_median,0.0
138,2023-02-13,0,pred_leaf_count_median,144.0
143,2023-02-13,0,pred_fruit_count_mean,0.0
142,2023-02-13,0,pred_fruit_count_median,0.0
141,2023-02-13,0,pred_flower_count_mean,2.235294117647059
140,2023-02-13,0,pred_flower_count_median,2.0
139,2023-02-13,0,pred_leaf_count_mean,143.0
44,2023-02-14,0,pred_flower_count_median,2.0
42,2023-02-14,0,pred_leaf_count_median,158.0
47,2023-02-14,0,pred_fruit_count_mean,0.0
46,2023-02-14,0,pred_fruit_count_median,0.0
45,2023-02-14,0,pred_flower_count_mean,1.75
43,2023-02-14,0,pred_leaf_count_mean,156.4375
59,2023-02-15,0,pred_fruit_count_mean,0.0
58,2023-02-15,0,pred_fruit_count_median,0.0
57,2023-02-15,0,pred_flower_count_mean,2.3333333333333335
55,2023-02-15,0,pred_leaf_count_mean,160.13333333333333
54,2023-02-15,0,pred_leaf_count_median,158.0
56,2023-02-15,0,pred_flower_count_median,2.0
113,2023-02-16,0,pred_fruit_count_mean,0.0
112,2023-02-16,0,pred_fruit_count_median,0.0
111,2023-02-16,0,pred_flower_count_mean,1.625
110,2023-02-16,0,pred_flower_count_median,1.5
109,2023-02-16,0,pred_leaf_count_mean,157.1875
108,2023-02-16,0,pred_leaf_count_median,161.5
204,2023-02-17,0,pred_leaf_count_median,165.5
206,2023-02-17,0,pred_flower_count_median,2.0
207,2023-02-17,0,pred_flower_count_mean,2.25
208,2023-02-17,0,pred_fruit_count_median,0.0
209,2023-02-17,0,pred_fruit_count_mean,0.0
205,2023-02-17,0,pred_leaf_count_mean,165.5625
79,2023-02-18,0,pred_leaf_count_mean,174.875
78,2023-02-18,0,pred_leaf_count_median,172.5
83,2023-02-18,0,pred_fruit_count_mean,0.0
82,2023-02-18,0,pred_fruit_count_median,0.0
81,2023-02-18,0,pred_flower_count_mean,2.5
80,2023-02-18,0,pred_flower_count_median,2.5
236,2023-02-19,0,pred_flower_count_median,5.5
235,2023-02-19,0,pred_leaf_count_mean,179.4375
238,2023-02-19,0,pred_fruit_count_median,0.0
237,2023-02-19,0,pred_flower_count_mean,5.5
239,2023-02-19,0,pred_fruit_count_mean,0.0
234,2023-02-19,0,pred_leaf_count_median,181.0
103,2023-02-20,0,pred_leaf_count_mean,174.84615384615384
104,2023-02-20,0,pred_flower_count_median,5.0
105,2023-02-20,0,pred_flower_count_mean,5.538461538461538
106,2023-02-20,0,pred_fruit_count_median,0.0
107,2023-02-20,0,pred_fruit_count_mean,0.0
102,2023-02-20,0,pred_leaf_count_median,174.0
71,2023-02-21,0,pred_fruit_count_mean,0.0
70,2023-02-21,0,pred_fruit_count_median,0.0
69,2023-02-21,0,pred_flower_count_mean,8.8
66,2023-02-21,0,pred_leaf_count_median,171.0
67,2023-02-21,0,pred_leaf_count_mean,174.93333333333334
68,2023-02-21,0,pred_flower_count_median,9.0
116,2023-02-22,0,pred_flower_count_median,10.0
117,2023-02-22,0,pred_flower_count_mean,9.11111111111111
118,2023-02-22,0,pred_fruit_count_median,0.0
119,2023-02-22,0,pred_fruit_count_mean,0.0
114,2023-02-22,0,pred_leaf_count_median,168.5
115,2023-02-22,0,pred_leaf_count_mean,159.05555555555554
169,2023-02-23,0,pred_leaf_count_mean,154.6
170,2023-02-23,0,pred_flower_count_median,16.0
172,2023-02-23,0,pred_fruit_count_median,0.0
173,2023-02-23,0,pred_fruit_count_mean,0.0
168,2023-02-23,0,pred_leaf_count_median,154.0
171,2023-02-23,0,pred_flower_count_mean,15.8
245,2023-02-24,0,pred_fruit_count_mean,0.0
240,2023-02-24,0,pred_leaf_count_median,155.0
241,2023-02-24,0,pred_leaf_count_mean,155.22222222222223
242,2023-02-24,0,pred_flower_count_median,14.0
243,2023-02-24,0,pred_flower_count_mean,14.11111111111111
244,2023-02-24,0,pred_fruit_count_median,0.0
197,2023-02-25,0,pred_fruit_count_mean,0.0
196,2023-02-25,0,pred_fruit_count_median,0.0
195,2023-02-25,0,pred_flower_count_mean,12.9
